Tags,Author
"Jane Austen,December,The United Kingdom,elizabeth-bennet,jane-austen",Jane Austen
"C.S. Lewis,November,Ireland,age,fairytales,growing-up",C.S. Lewis
"Jane Austen,December,The United Kingdom,humor,love,romantic,women",Jane Austen
"George R.R. Martin,September,The United States,books,mind",George R.R. Martin
"Madeleine L'Engle,November,The United States,books,children,difficult,grown-ups,write,writers,writing",Madeleine L'Engle
"Dr. Seuss,March,The United States,inspirational",Dr. Seuss
"Mark Twain,November,The United States,truth",Mark Twain
"E.E. Cummings,October,The United States,courage",E.E. Cummings
"Harper Lee,April,The United States,better-life-empathy",Harper Lee
"Khaled Hosseini,March,Afghanistan,life",Khaled Hosseini
"J.M. Barrie,May,The United Kingdom,adventure,love",J.M. Barrie
"Jimi Hendrix,November,The United States,death,life",Jimi Hendrix
"J.K. Rowling,July,The United Kingdom,truth",J.K. Rowling
